Number of hit	Text ID	Context before	Query item	Context after	Tagged context before	Tagged query item	Tagged context after	Date	Party	Year	URL	Matchbegin corpus position	Matchend corpus position
19	c_436783	-- of what must be one of their core duties : the duty to ensure that people have adequate clean	water and sanitation	. Last weekend , I listened to many leading Tories trying to come to terms with the humiliation that they	--_, of_IN what_WP must_MD be_VB one_CD of_IN their_PRP$ core_NN duties_NNS :_: the_DT duty_NN to_TO ensure_VB that_IN people_NNS have_VBP adequate_JJ clean_JJ	water_NN and_CC sanitation_NN	._. Last_JJ weekend_NN ,_, I_PRP listened_VBD to_IN many_JJ leading_VBG Tories_NNPS trying_VBG to_TO come_VB to_IN terms_NNS with_IN the_DT humiliation_NN that_WDT they_PRP	1996-05-08	lab	1996	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=18	89539844	89539846
20	c_436787	forces and economic regulation . Just as BSE has resulted in chaos in agriculture , in the vital sectors of	water and sanitation	the Government have no grip . They are happy to deregulate and privatise and to leave the public service interest	forces_NNS and_CC economic_JJ regulation_NN ._. Just_RB as_IN BSE_NNP has_VBZ resulted_VBN in_IN chaos_NN in_IN agriculture_NN ,_, in_IN the_DT vital_JJ sectors_NNS of_IN	water_NN and_CC sanitation_NN	the_DT Government_NNP have_VBP no_DT grip_NN ._. They_PRP are_VBP happy_JJ to_TO deregulate_VB and_CC privatise_VB and_CC to_TO leave_VB the_DT public_JJ service_NN interest_NN	1996-05-08	lab	1996	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=19	89542071	89542073
21	c_447587	per cent . the proportion allocated to social and environmental priority areas such as basic health , primary education ,	water and sanitation	. " As my hon . Friend said , the document proposes " A housing strategy to provide at least	per_NN cent_NN ._. the_DT proportion_NN allocated_VBN to_IN social_JJ and_CC environmental_JJ priority_NN areas_NNS such_JJ as_IN basic_JJ health_NN ,_, primary_JJ education_NN ,_,	water_NN and_CC sanitation_NN	._. "_'' As_IN my_PRP$ hon_NN ._. Friend_NN said_VBD ,_, the_DT document_NN proposes_VBZ "_`` A_DT housing_NN strategy_NN to_TO provide_VB at_IN least_JJS	1996-07-10	plaidcymru	1996	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=20	91956189	91956191
22	c_453006	. They are improving education and health and improving the infrastructure on a small scale . They are improving the	water and sanitation	systems and creating employment . That is happening because the British soldiers and the ODA - which has devoted not	._. They_PRP are_VBP improving_VBG education_NN and_CC health_NN and_CC improving_VBG the_DT infrastructure_NN on_IN a_DT small_JJ scale_NN ._. They_PRP are_VBP improving_VBG the_DT	water_NN and_CC sanitation_NN	systems_NNS and_CC creating_VBG employment_NN ._. That_DT is_VBZ happening_VBG because_IN the_DT British_JJ soldiers_NNS and_CC the_DT ODA_NNP -_, which_WDT has_VBZ devoted_VBN not_RB	1996-10-24	con	1996	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=21	93206268	93206270
23	c_455316	needs of the poorest communities - basic education , primary health care , mother and child health , nutrition ,	water and sanitation	. Considering our record , there can be little doubt that the British overseas aid programme is among the most	needs_NNS of_IN the_DT poorest_JJS communities_NNS -_HYPH basic_JJ education_NN ,_, primary_JJ health_NN care_NN ,_, mother_NN and_CC child_NN health_NN ,_, nutrition_NN ,_,	water_NN and_CC sanitation_NN	._. Considering_VBG our_PRP$ record_NN ,_, there_EX can_MD be_VB little_JJ doubt_NN that_IN the_DT British_JJ overseas_JJ aid_NN programme_NN is_VBZ among_IN the_DT most_RBS	1996-11-06	con	1996	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=22	93774802	93774804
24	c_486662	an international agreement on forests , with suitably high standards . We also discussed how to increase access to clean	water and sanitation	, and how to improve international co-ordination of efforts to protect oceans and to manage fisheries . This was my	an_DT international_JJ agreement_NN on_IN forests_NNS ,_, with_IN suitably_RB high_JJ standards_NNS ._. We_PRP also_RB discussed_VBD how_WRB to_TO increase_VB access_NN to_IN clean_JJ	water_NN and_CC sanitation_NN	,_, and_CC how_WRB to_TO improve_VB international_JJ co-ordination_NN of_IN efforts_NNS to_TO protect_VB oceans_NNS and_CC to_TO manage_VB fisheries_NNS ._. This_DT was_VBD my_PRP$	1997-06-24	lab	1997	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=23	100886988	100886990
25	c_486996	There is a movement for an international conference that is likely to set the world a target of bringing clean	water and sanitation	to everyone in the world within 10 years . Everyone will have to work at that , but private companies	There_EX is_VBZ a_DT movement_NN for_IN an_DT international_JJ conference_NN that_WDT is_VBZ likely_JJ to_TO set_VB the_DT world_NN a_DT target_NN of_IN bringing_VBG clean_JJ	water_NN and_CC sanitation_NN	to_IN everyone_NN in_IN the_DT world_NN within_IN 10_CD years_NNS ._. Everyone_NN will_MD have_VB to_TO work_VB at_IN that_DT ,_, but_CC private_JJ companies_NNS	1997-06-25	lab	1997	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=24	100979172	100979174
26	c_487975	endeavours , and all such endeavours are welcome ; but , in the face of the world need for clean	water and sanitation	. Water Aid is a small contribution . Charitable contributions aimed at improving the very bad image of water companies	endeavours_NNS ,_, and_CC all_PDT such_JJ endeavours_NNS are_VBP welcome_JJ ;_, but_CC ,_, in_IN the_DT face_NN of_IN the_DT world_NN need_NN for_IN clean_JJ	water_NN and_CC sanitation_NN	._. Water_NNP Aid_NNP is_VBZ a_DT small_JJ contribution_NN ._. Charitable_JJ contributions_NNS aimed_VBN at_IN improving_VBG the_DT very_RB bad_JJ image_NN of_IN water_NN companies_NNS	1997-07-01	lab	1997	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=25	101212953	101212955
27	c_487992	only they can deliver universals such as primary education for all , better health care for all , and clean	water and sanitation	for all . I hope that this work will help to create the conditions that will increase private investment in	only_RB they_PRP can_MD deliver_VB universals_NNS such_JJ as_IN primary_JJ education_NN for_IN all_DT ,_, better_JJR health_NN care_NN for_IN all_DT ,_, and_CC clean_JJ	water_NN and_CC sanitation_NN	for_IN all_DT ._. I_PRP hope_VBP that_IN this_DT work_NN will_MD help_VB to_TO create_VB the_DT conditions_NNS that_WDT will_MD increase_VB private_JJ investment_NN in_IN	1997-07-01	lab	1997	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=26	101217234	101217236
28	c_488046	population control , housing , shelter , reliable sources of food , water - and together with that , clean	water and sanitation	- and at least primary , education . That leads to what we must also do : provide employment for	population_NN control_NN ,_, housing_NN ,_, shelter_NN ,_, reliable_JJ sources_NNS of_IN food_NN ,_, water_NN -_, and_CC together_RB with_IN that_DT ,_, clean_JJ	water_NN and_CC sanitation_NN	-_, and_CC at_IN least_JJS primary_JJ ,_, education_NN ._. That_DT leads_VBZ to_IN what_WP we_PRP must_MD also_RB do_VB :_: provide_VB employment_NN for_IN	1997-07-01	con	1997	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=27	101239782	101239784
29	c_510031	We are involved in mine clearing and , through Save the Children Fund , we are working with children on	water and sanitation	projects . We are involved in aid to Iraq and we are trying to make a contribution towards the well	We_PRP are_VBP involved_VBN in_IN mine_PRP clearing_NN and_CC ,_, through_IN Save_VB the_DT Children_NNPS Fund_NNP ,_, we_PRP are_VBP working_VBG with_IN children_NNS on_IN	water_NN and_CC sanitation_NN	projects_NNS ._. We_PRP are_VBP involved_VBN in_IN aid_NN to_IN Iraq_NNP and_CC we_PRP are_VBP trying_VBG to_TO make_VB a_DT contribution_NN towards_IN the_DT well_RB	1998-01-21	lab	1998	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=28	106116494	106116496
30	c_511014	is involved in a major mine clearing operation , and the Save The Children Fund , which is focusing on	water and sanitation	projects aimed at helping children . The United Kingdom has also co-sponsored successive Security Council resolutions , allowing Iraq to	is_VBZ involved_VBN in_IN a_DT major_JJ mine_NN clearing_NN operation_NN ,_, and_CC the_DT Save_VB The_DT Children_NNPS Fund_NNP ,_, which_WDT is_VBZ focusing_VBG on_IN	water_NN and_CC sanitation_NN	projects_NNS aimed_VBN at_IN helping_VBG children_NNS ._. The_DT United_NNP Kingdom_NNP has_VBZ also_RB co-sponsored_VBN successive_JJ Security_NNP Council_NNP resolutions_NNS ,_, allowing_VBG Iraq_NNP to_TO	1998-01-26	lab	1998	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=29	106314885	106314887
31	c_511810	to reach international agreement to conserve and share water resources equitably and to meet the international target of providing clean	water and sanitation	to all by 2015 . I shall attend the ministerial and expert meeting hosted by France in March , which	to_TO reach_VB international_JJ agreement_NN to_TO conserve_VB and_CC share_VB water_NN resources_NNS equitably_RB and_CC to_TO meet_VB the_DT international_JJ target_NN of_IN providing_VBG clean_JJ	water_NN and_CC sanitation_NN	to_IN all_DT by_IN 2015_CD ._. I_PRP shall_MD attend_VB the_DT ministerial_JJ and_CC expert_NN meeting_NN hosted_VBN by_IN France_NNP in_IN March_NNP ,_, which_WDT	1998-01-28	lab	1998	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=30	106490895	106490897
32	c_511812	we must move on both fronts . We intend to ensure access both to reproductive health care and to clean	water and sanitation	for everybody in the world . What projects in the world for desalinating water to make it fit for drinking	we_PRP must_MD move_VB on_IN both_DT fronts_NNS ._. We_PRP intend_VBP to_TO ensure_VB access_NN both_CC to_IN reproductive_JJ health_NN care_NN and_CC to_TO clean_VB	water_NN and_CC sanitation_NN	for_IN everybody_NN in_IN the_DT world_NN ._. What_WDT projects_NNS in_IN the_DT world_NN for_IN desalinating_VBG water_NN to_TO make_VB it_PRP fit_VB for_IN drinking_NN	1998-01-28	lab	1998	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=31	106491116	106491118
33	c_531217	- for - food programme , which was set up by resolution 1153 , will be available for rehabilitation of	water and sanitation	infrastructures . In view of the likelihood of the havoc that could be created by waterborne disease among the children	-_HYPH for_IN -_HYPH food_NN programme_NN ,_, which_WDT was_VBD set_VBN up_RP by_IN resolution_NN 1153_CD ,_, will_MD be_VB available_JJ for_IN rehabilitation_NN of_IN	water_NN and_CC sanitation_NN	infrastructures_NNS ._. In_IN view_NN of_IN the_DT likelihood_NN of_IN the_DT havoc_NN that_WDT could_MD be_VB created_VBN by_IN waterborne_NN disease_NN among_IN the_DT children_NNS	1998-04-07	lab	1998	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=32	110192474	110192476
34	c_560528	where Â£ 5,000 from the DFID small grants scheme has done much good work . We have many projects in	water and sanitation	, local government services , health and land reform in Zimbabwe . If the Secretary of State is not able	where_WRB Â£_$ 5,000_CD from_IN the_DT DFID_NNP small_JJ grants_NNS scheme_NN has_VBZ done_VBN much_JJ good_JJ work_NN ._. We_PRP have_VBP many_JJ projects_NNS in_IN	water_NN and_CC sanitation_NN	,_, local_JJ government_NN services_NNS ,_, health_NN and_CC land_NN reform_NN in_IN Zimbabwe_NNP ._. If_IN the_DT Secretary_NNP of_IN State_NNP is_VBZ not_RB able_JJ	1998-11-11	lab	1998	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=33	116531686	116531688
35	c_595319	of space for latrines . The extra population is putting a huge strain on the existing infrastructure - roads ,	water and sanitation	- of the host population . Oxfam has had to supply enough water purification chemicals to safeguard all of Macedonia	of_IN space_NN for_IN latrines_NNS ._. The_DT extra_JJ population_NN is_VBZ putting_VBG a_DT huge_JJ strain_NN on_IN the_DT existing_VBG infrastructure_NN -_HYPH roads_NNS ,_,	water_NN and_CC sanitation_NN	-_, of_IN the_DT host_NN population_NN ._. Oxfam_NNP has_VBZ had_VBN to_TO supply_VB enough_JJ water_NN purification_NN chemicals_NNS to_TO safeguard_VB all_DT of_IN Macedonia_NNP	1999-05-18	lab	1999	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=34	124036043	124036045
36	c_599733	has been involved in the development of such a legally binding protocol . It will address action on adequate drinking	water and sanitation	, safe water for agriculture , aquaculture and recreation , and systems for monitoring and managing risks to health .	has_VBZ been_VBN involved_VBN in_IN the_DT development_NN of_IN such_PDT a_DT legally_RB binding_VBG protocol_NN ._. It_PRP will_MD address_VB action_NN on_IN adequate_JJ drinking_NN	water_NN and_CC sanitation_NN	,_, safe_JJ water_NN for_IN agriculture_NN ,_, aquaculture_NN and_CC recreation_NN ,_, and_CC systems_NNS for_IN monitoring_NN and_CC managing_VBG risks_NNS to_IN health_NN ._.	1999-06-15	lab	1999	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=35	125047663	125047665
37	c_602908	? What is the point of allowing diarrhoea , typhoid and cholera medicines while forbidding the equipment to repair the	water and sanitation	systems ? The collapse of those systems led to the epidemic of water - borne disease in the first place	?_. What_WP is_VBZ the_DT point_NN of_IN allowing_VBG diarrhoea_NN ,_, typhoid_NN and_CC cholera_NN medicines_NNS while_IN forbidding_VBG the_DT equipment_NN to_TO repair_VB the_DT	water_NN and_CC sanitation_NN	systems_NNS ?_. The_DT collapse_NN of_IN those_DT systems_NNS led_VBD to_IN the_DT epidemic_NN of_IN water_NN -_HYPH borne_VBN disease_NN in_IN the_DT first_JJ place_NN	1999-06-29	lab	1999	https://corpora.linguistik.uni-erlangen.de/cqpweb/parlspeech_uk/context.php?qname=i42i3vii9qn&batch=36	125837123	125837125
